"action_type","type","id","visible","version","changeset","timestamp","user","uid","lat","lon"
"modify","node","11511200194",TRUE,2,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2058167","4.3929340"
"modify","node","12905936369",TRUE,2,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2056359","4.3926429"
"modify","node","12905936370",TRUE,2,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2057370","4.3926693"
"modify","way","1394168769",TRUE,2,"171501552",2025-09-05 14:17:10,"multimob","14088321",NA,NA
"modify","node","1706082094",TRUE,3,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2056864","4.3925953"
"modify","node","2205925462",TRUE,3,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2056514","4.3926857"
"modify","node","2205925494",TRUE,3,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2059232","4.3934905"
"modify","node","6694649025",TRUE,3,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2056412","4.3925810"
"modify","node","2205925464",TRUE,4,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2057079","4.3926615"
"modify","node","2205925493",TRUE,4,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2056636","4.3926502"
"modify","way","210508296",TRUE,6,"171501552",2025-09-05 14:17:10,"multimob","14088321",NA,NA
"delete","node","203835339",FALSE,7,"171501552",2025-09-05 14:17:10,"multimob","14088321",NA,NA
"modify","way","158411743",TRUE,8,"171501552",2025-09-05 14:17:10,"multimob","14088321",NA,NA
"modify","way","210508300",TRUE,8,"171501552",2025-09-05 14:17:10,"multimob","14088321",NA,NA
"modify","way","158381348",TRUE,9,"171501552",2025-09-05 14:17:10,"multimob","14088321",NA,NA
"modify","node","203835483",TRUE,11,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2058178","4.3927245"
"modify","node","2205844992",TRUE,11,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2057272","4.3927210"
"modify","way","158381341",TRUE,11,"171501552",2025-09-05 14:17:10,"multimob","14088321",NA,NA
"modify","way","23938230",TRUE,12,"171501552",2025-09-05 14:17:10,"multimob","14088321",NA,NA
"modify","node","2205844993",TRUE,16,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2059329","4.3934829"
"modify","way","34927123",TRUE,17,"171501552",2025-09-05 14:17:10,"multimob","14088321",NA,NA
"modify","way","32912389",TRUE,24,"171501552",2025-09-05 14:17:10,"multimob","14088321",NA,NA
"modify","relation","10409861",TRUE,32,"171501552",2025-09-05 14:17:10,"multimob","14088321",NA,NA
"modify","relation","10409862",TRUE,32,"171501552",2025-09-05 14:17:10,"multimob","14088321",NA,NA
"delete","node","203827065",FALSE,10,"171500968",2025-09-05 14:05:35,"multimob","14088321",NA,NA
"modify","way","23938230",TRUE,11,"171500968",2025-09-05 14:05:35,"multimob","14088321",NA,NA
"create","relation","19567937",TRUE,1,"171500942",2025-09-05 14:04:59,"multimob","14088321",NA,NA
"create","relation","19567938",TRUE,1,"171500942",2025-09-05 14:04:59,"multimob","14088321",NA,NA
"create","node","13121278621",TRUE,1,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2073401","4.3977587"
"create","node","13121278622",TRUE,1,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2073491","4.3977871"
"create","node","13121278623",TRUE,1,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2071300","4.3971741"
"create","node","13121278624",TRUE,1,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2071142","4.3971511"
"create","node","13121278625",TRUE,1,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2070617","4.3970780"
"create","node","13121278626",TRUE,1,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2071763","4.3972417"
"modify","node","1705912240",TRUE,2,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2068747","4.3969311"
"modify","node","1705912250",TRUE,2,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2069031","4.3969385"
"modify","node","1705912253",TRUE,2,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2068966","4.3970074"
"modify","node","1705912279",TRUE,2,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2069396","4.3969522"
"modify","node","1705912284",TRUE,2,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2069384","4.3970261"
"modify","node","1705912290",TRUE,2,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2069681","4.3969653"
"modify","node","1705912299",TRUE,2,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2070184","4.3970000"
"modify","node","1705912302",TRUE,2,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2070481","4.3970268"
"modify","node","1705912303",TRUE,2,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2070610","4.3971281"
"modify","node","1705912319",TRUE,2,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2070727","4.3970528"
"delete","node","1705928631",FALSE,2,"171500905",2025-09-05 14:04:06,"multimob","14088321",NA,NA
"modify","node","1705928632",TRUE,2,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2071287","4.3971226"
